 ,Label,ID,Vol. (microns³),x Cent (microns),y Cent (microns),z Cent (microns),SA (microns²),Encl. Vol. (microns³)
45,mouse27_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_...1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi #1 - C=1,45,0.175,441.116,204.024,28.350,0,0
46,mouse27_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_...1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi #1 - C=1,46,0.350,448.915,197.784,33.525,0,0
47,mouse27_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_...1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi #1 - C=1,47,0.175,547.807,446.731,28.350,0,0
48,mouse27_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_...1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi #1 - C=1,48,0.175,579.627,330.057,26.100,0,0
49,mouse27_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_...1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi #1 - C=1,49,0.175,563.405,422.398,30.150,0,0
50,mouse27_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_...1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi #1 - C=1,50,0.175,564.029,135.392,24.300,0,0
51,mouse27_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_...1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi #1 - C=1,51,0.175,574.636,532.209,24.300,0,0
52,mouse27_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_...1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi #1 - C=1,52,0.175,563.405,421.774,28.800,0,0
53,mouse27_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_...1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi #1 - C=1,53,0.175,549.679,399.312,27.000,0,0
54,mouse27_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_...1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi #1 - C=1,54,0.175,548.431,385.586,27.900,0,0
55,mouse27_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_...1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi #1 - C=1,55,0.175,542.815,280.143,23.400,0,0
56,mouse27_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_...1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi #1 - C=1,56,0.175,618.934,218.374,20.700,0,0
57,mouse27_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_...1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi #1 - C=1,57,0.175,550.303,399.312,27.900,0,0
58,mouse27_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_...1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi #1 - C=1,58,0.175,439.868,185.306,25.200,0,0
59,mouse27_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_...1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi #1 - C=1,59,2.277,449.131,195.817,33.819,0,0
60,mouse27_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_...1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi #1 - C=1,60,0.175,621.430,466.073,32.850,0,0
61,mouse27_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_...1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi #1 - C=1,61,0.876,500.264,248.447,25.650,0,0
62,mouse27_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_...1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi #1 - C=1,62,1.226,562.870,109.365,20.700,0,0
63,mouse27_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_...1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi #1 - C=1,63,0.175,572.140,496.645,28.350,0,0
64,mouse27_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_...1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi #1 - C=1,64,0.175,449.227,196.537,35.100,0,0
65,mouse27_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_...1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi #1 - C=1,65,0.175,635.156,360.629,26.550,0,0
